word,translation,phonetic
"above","X. 以上 ADV. 上面 ADJ. 上述","/əbˈʌv/"
"accessible","ADJ. 访问，方便，便利，存取","/əksˈɛsəbə‍l/"
"adjust","VERB. 调整，调节，适应，调","/əd‍ʒˈʌst/"
"admit","VERB. 承认，认错，接纳，录取","/ədmˈɪt/"
"advertise","VERB. 做广告，登广告，宣传，刊登广告，投放广告，广告，通告，刊登","/ˈædvətˌa‍ɪz/"
"advertising","NOUN. 广告，广告宣传，做广告，宣传","'ædvәtaiziŋ"
"aesthetic","ADJ. 审美，美学，美感，唯美，审美观，美观，美育，美容","/iːsθˈɛtɪk/"
"alongside","X. 旁边","/əlˈɒŋsa‍ɪd/"
"anxiety","NOUN. 焦虑，焦虑症，焦虑情绪，忧虑，焦虑症状，焦虑不安，不安，焦急，担忧","/æŋzˈa‍ɪ‍əti/"
"archive","NOUN. 存档，归档，档案，归档文件，档案馆，档案库，档案室，封存","/ˈɑː.kaɪv/"
"assets","NOUN. 资产，财富，财产","ˈasɛts"
"basis","NOUN. 基础，依据，根据，基，基准","/bˈe‍ɪsɪs/"
"bind","VERB. 绑定，捆住，装订，绑，约束，捆绑，束缚","/bˈa‍ɪnd/"
"brand","NOUN. 品牌，牌，牌子，名牌，商标","/brænd/"
"branding","VERB. 品牌，烙印，署名","brˈandɪŋ"
"brush","NOUN. 刷，刷子，画笔，电刷，笔刷，毛刷，毛笔，牙刷，擦 VERB. 刷牙","/brʌʃ/"
"bunch","NOUN. 堆，束，串，一群，捆","/bˈʌnt‍ʃ/"
"candy","NOUN. 糖果，糖，坎蒂，凯蒂","/kˈændi/"
"capability","NOUN. 能力，性能，功能，容量","/kˌe‍ɪpəbˈɪlɪti/"
"catalyzed","VERB. 催化","ˈkætəlaizd"
"centos","X. 社区企业操作系统（Community Enterprise Operating System）","sˈɛntəʊz"
"centralize","VERB. 集中","/ˈsen.trə.laɪz/"
"charge","NOUN. 电荷，负责，收费，充电，费，指控，主管，费用，负责人 VERB. 收取，收","/tʃɑːdʒ/"
"chart","NOUN. 图表，图，海图，表，表格，病历","/tʃɑːt/"
"component","NOUN. 组件，组成部分，构件，分量，成分，组分，元件，部件，组成，零件","/kəmpˈə‍ʊnənt/"
"consider","VERB. 考虑，否考虑，认为，思考，审议","/kənsˈɪdə/"
"convert","VERB. 转换，皈依，转化，换算","/ˈkɑnvət/"
"cosmetic","ADJ. 化妆品，整容，美容，化妆，整形，化装品","/kɒzmˈɛtɪk/"
"coworker","NOUN. 共同工作的人，同事，合作者","kˈəʊwɜːkə"
"custom","NOUN. 自定义，定制，习俗，风俗，定做，习惯，订，海关，风俗习惯","/kˈʌstəm/"
"deliver","VERB. 交付，提供，送，传递，交货，运送，救","/dɪlˈɪvə/"
"directions","NOUN. 方向，方向前进，指示，路向，指导，导向，方位，走向，取向","daɪrˈɛkʃənz"
"disadvantage","NOUN. 缺点，劣势，处于劣势，不利，弊端，弊，坏处，不利因素，弱势","/dˌɪsədvˈɑːntɪd‍ʒ/"
"discuss","VERB. 讨论，探讨，洽谈，商讨，商量，谈，论述，谈论，谈谈，论","/dɪskˈʌs/"
"drain","NOUN. 排水，流失，排水管，排水沟，漏，下水道，排泄，吸取，消耗，排放 VERB. 排","/dreɪn/"
"ecosystem","NOUN. 生态","/ˈiːkə‍ʊsˌɪstəm/"
"encountered","VERB. 遇到，碰到，遇，遭到，遇见 NOUN. 遭遇，邂逅，相遇","ɛŋkˈaʊntəd"
"encourage","VERB. 鼓励，激励，助长，鼓舞，促使，促进，提倡","/ɪnˈkʌr.ɪdʒ/"
"encrypt","VERB. 加密","/ɪnˈkrɪpt/"
"essential","ADJ. 必不可少，本质，必要，基本，必需，至关重要，精，重要，关键，根本","/ɪsˈɛnʃə‍l/"
"fingerprint","NOUN. 指纹，指纹图谱，指印，手印","/ˈfɪŋ.ɡə.prɪnt/"
"fuzz","NOUN. 绒毛，模糊","/fˈʌz/"
"gear","NOUN. 齿轮，齿，装备，传动装置，渔具，档，挡","/ɡɪər/"
"genius","NOUN. 天才，天赋，才华","/d‍ʒˈiːnɪəs/"
"hardware","NOUN. 硬件，五金，硬体，硬","/ˈhɑːd.weər/"
"howdunit","X. [网络] 怎麽办到的；如何办到；怎样做的","hˈaʊdjuːnˌɪt"
"illustrations","NOUN. 插图，例证，插画，图解，画像","ˌɪləstrˈeɪʃənz"
